,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
s1,232.317105,244.174882,263.527192,285.554193,300.164801,313.339554,322.931695,326.271161,300.872165,315.227379,346.487721,349.018543,341.824318,330.526086,342.346823,348.57985,317.968085,274.863817,245.5509,252.031348,250.36195,246.922171,257.896197,250.271906
s2,215.93953,209.792023,196.925969,172.907569,155.6041,148.444491,149.913403,148.125446,148.247111,151.239535,152.032497,154.867704,157.015596,141.525412,131.999716,180.812215,248.985563,309.364312,348.500724,366.639893,373.457552,373.917497,371.989574,369.396304
s3,23.483721,14.55187,11.107265,10.086661,7.809982,6.776796,6.824373,5.616579,5.431036,15.663146,31.361729,47.516183,55.738458,58.47278,61.03512,77.352115,102.973806,121.507644,137.54373,151.339412,154.92246,148.636301,148.596725,162.689851
s4,119.919087,133.721826,185.175135,267.432029,337.022901,364.763148,360.496669,351.120549,335.843995,302.707296,283.902705,276.717378,322.035514,375.827259,410.170461,407.949229,402.949827,479.799987,494.693861,495.606783,495.561053,494.074279,488.388173,477.597778
s5,96.410907,63.396733,37.848555,21.290159,13.782453,12.788875,12.578928,16.818,31.029655,43.72578,60.231949,85.264158,116.728528,150.326216,183.46846,216.720305,237.009012,278.219815,319.390455,337.880555,350.343509,357.656165,368.368658,381.030991
s6,276.883681,253.860625,248.46497,260.83656,269.549664,216.920267,187.460202,185.261833,195.525608,218.312794,242.317809,256.529597,257.897338,252.455195,250.357845,252.827512,249.835655,240.730123,250.356559,250.996899,237.973479,224.05926,218.638727,224.330602
s7,250.974639,233.725,232.640073,221.99426,216.518781,227.343138,244.06815,269.960696,315.228925,369.404067,408.723701,433.872662,448.670188,457.858157,462.740967,464.171451,461.893734,452.34219,448.646588,458.75809,461.490419,470.299414,477.496924,481.168409
s8,103.18753,125.486921,147.252928,158.167974,145.668621,92.856836,82.537028,92.85196,108.955244,119.000109,131.147994,146.901649,150.983278,156.801016,156.09519,150.669709,118.364217,70.886975,47.104622,42.002097,40.424182,51.292788,85.788548,144.436142
s9,233.145986,261.308838,277.582045,284.794236,280.575273,283.228821,338.8166,382.555616,394.100058,425.269741,449.837193,454.157147,458.280121,453.497993,452.893414,443.240043,405.872713,345.120157,279.989968,267.432035,291.491871,305.77711,301.211605,282.896506
s10,329.53954,322.285019,313.320284,312.414022,300.618985,288.860676,291.496494,346.859668,403.097948,432.425809,450.376244,467.120873,469.765878,466.975208,463.224395,468.862773,453.996834,433.831075,412.861942,335.853788,186.795288,86.285509,62.131633,78.210023
s11,197.961696,195.524737,193.373599,182.184002,169.695155,157.261748,151.752899,141.283698,126.927689,110.040163,89.401503,66.481567,46.504947,33.135941,22.015669,14.486345,12.782057,11.793409,13.077314,13.426076,10.585602,7.406816,7.202317,13.017695
s12,104.519609,136.021966,177.771745,211.146497,242.032384,226.075939,207.355126,237.256163,256.527768,300.765913,368.242206,412.243987,427.911095,428.563035,414.618685,380.766159,322.032172,273.442156,276.224495,266.074236,244.176625,229.707463,219.861378,212.951373
s13,365.612352,370.5976,375.018853,350.410539,300.807773,212.444556,124.054215,120.223818,188.313808,263.185056,300.142532,311.753708,305.112993,295.528013,285.591682,270.095921,242.104588,206.362418,180.798062,171.622547,173.524353,195.948321,239.351732,286.876365
s14,405.865172,436.897714,455.834027,466.343565,479.63734,491.382546,485.359059,480.930567,480.771204,484.607858,487.024918,488.119149,487.124825,484.323703,483.904974,485.737398,488.786173,490.457934,491.470783,492.560699,492.87437,493.989576,494.312537,493.994579
s15,394.287461,376.713641,355.792074,335.858722,309.985736,287.50003,247.332357,197.529583,156.280861,121.528271,95.847224,80.462228,79.763759,87.03146,100.335388,125.158032,166.792336,225.030739,287.177023,323.900759,341.068071,352.213113,357.595139,355.136431
s16,305.11145,341.097139,355.127142,392.314806,411.982102,412.753398,428.53343,444.012176,452.812426,445.639283,418.684522,378.87253,338.184331,302.394803,255.162446,217.904564,220.747478,212.52605,189.430547,155.440022,115.356552,69.146011,34.228693,23.336332
s17,166.338721,169.167892,166.878613,158.286898,156.505866,180.745831,225.313014,274.863951,293.363344,316.480358,366.733712,385.277945,394.291355,398.567508,401.851049,404.982931,413.389673,417.530471,404.397176,362.949843,304.805142,254.234355,212.514675,187.013527
s18,348.487945,361.507918,380.620398,397.641196,430.121508,449.741528,462.270556,468.221757,472.896604,478.763924,481.797097,483.040017,483.034122,483.587121,486.3129,487.452315,484.204851,481.155087,475.308926,467.432139,463.598638,457.874092,447.845551,432.275553
s19,144.449731,168.665881,190.6968,200.653581,203.65495,206.373441,218.556328,238.995713,252.506028,251.897266,248.864269,246.922625,256.528857,290.110504,319.891223,327.315927,326.377593,327.276412,328.908768,328.434137,329.127486,328.553166,328.321418,320.926612
s20,489.83406,486.941788,478.525255,455.376691,398.376153,367.15183,374.144415,393.144873,410.390061,445.657308,480.022412,480.624856,490.685742,495.202443,486.823413,455.296834,412.625814,440.439342,476.614667,492.14201,495.56307,492.594243,478.522233,450.463148
