,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
s1,28.46,26.66,24.48,24.01,15.88,15.87,22.04,25.42,32.21,41.34,43.51,43.02,44.29,46.24,50.61,59.47,64.99,61.74,55.07,48.01,44.01,45.2,38,38
s2,33.56,32.03,32.29,36.7,41.72,49.18,58.75,65.67,66.11,68.98,73.54,78.16,78.87,79.24,79.96,81.46,80.92,74.95,63.18,57.11,48.04,40,30,20
s3,15.87,15.88,15.88,15.94,20.04,49.44,53.53,63.48,64.99,60.19,59.96,59.8,58.86,64.99,68.83,73.59,82.28,82.97,79.03,73.23,67.41,65,58.12,58.71
s4,53.6,54.44,55.18,58.25,59.15,72.65,85.02,91.47,94.2,91.98,90.4,86.69,85.96,92.11,98.62,105.73,133.23,144.65,125,103.59,100.01,94.86,88.83,88.83
s5,83.09,80,80.17,82.49,88.14,109.79,165.01,299.01,249.12,255.86,211.11,203.28,196.98,197.86,299.94,449.64,526.25,349.95,181.91,149.6,112.82,100.1,92.87,84.88
s6,83.2,82.03,82.18,82.53,84.13,84.48,87.43,90.87,94.98,100.41,103.65,102.33,97.75,95.51,98.5,110,118.27,106.94,102.27,94.98,90.63,89.34,82.8,86.15
s7,82.46,79.22,77.53,76.89,77.42,78.45,80.37,84.21,87.57,89.75,91.99,91.5,87.52,87.23,90.64,96.21,104.27,106.09,103.55,100.5,93.31,91.17,83.86,87.02
s8,84.32,81.82,79.11,78.48,82.1,94.3,111.22,121.11,120.73,113.9,105.54,97.84,94.88,102.46,110.64,128,132.31,130.01,122.12,114.21,102.83,99.98,91.49,88.16
s9,87.04,85,84.14,85.72,89.28,108.51,124.06,133.25,120.91,113.19,105.78,100.22,100.82,112.36,121.09,130.99,137.95,137.8,130.43,120.24,111.68,106.18,97.09,89.29
s10,86.76,86.73,86.09,86.3,89.05,108.88,129.4,143,130.39,121.47,109.13,102.21,108.2,115.68,123.8,134.64,143.79,140,132.15,120,109.76,104.49,96.03,91.75
s11,88.59,87.25,82.38,81.95,89.36,102.07,116.86,141,129.16,113.65,106.48,99.38,99,105.98,117.96,137.35,150.09,136.69,132.31,118.95,107.19,100,97.22,91.04
s12,88.22,85.22,84.63,84.34,85.32,92.11,118.16,140.74,134.96,122.01,114.73,106.98,103.08,104.54,110,120,127.5,126,119.47,108.79,98.48,93.37,85.15,75.64
s13,74.85,73.65,71.37,72.24,55.55,45.62,51.2,67.16,73.31,72.02,70.98,69.95,63.67,67.91,68.61,70.78,74.22,75.81,73.82,73.06,70.93,62.76,61.65,64.02
s14,62.11,62.93,64.01,64.67,65.2,67.31,71.66,76.74,81.14,80.63,81.84,80.39,77.04,79.15,82.32,86.62,91.86,94.64,85.26,79.06,78.6,75.39,66.89,69.65
s15,66.05,64.31,62.04,63.57,70.57,79.95,83.84,99.3,100.29,94.88,90.26,83.86,82.15,84.5,89.44,99.92,109.08,115.57,110.66,103.15,92.95,89.49,86.43,82.19
s16,81.4,80.07,78.26,77.59,83.45,123,193.42,275.59,270.56,249.93,200.55,170.04,141.97,143.58,156.16,170.08,170.81,133.08,111.77,95.49,86.21,82.04,77.69,69.89
s17,69.36,68.47,67.56,67.31,67.28,70.65,79.94,96,102.87,106.91,111.1,117.71,121.7,121.74,125.46,128.56,140.52,123.59,114.28,109.8,101.09,94.28,84.17,81.33
s18,77.2,75.29,74.91,77.57,81,91.44,111.55,125.89,122.17,110.9,107.95,93.55,87.62,86.43,94.25,99.52,104.68,103.26,94.53,86.97,81.13,77.43,71.33,68.4
s19,65.34,64.05,62.76,63.32,65.85,75.74,89.38,104.27,103.3,95.85,86.56,78.72,75.15,76.91,86.95,104.6,114.77,108.49,85.1,75.82,73.01,70.69,66.69,67.62
s20,65.01,65.1,63.34,63.37,61.75,64.45,68.55,74.82,78.85,73.57,72.51,69.75,70.79,73.39,79.11,90.05,97.27,101.11,91.57,80,73.39,70.42,66.99,59.7
