"ISP (UTC)","Area","+Imbalance Price (EUR/MWh)","+Scarcity (EUR/MWh)","+Incentive (EUR/MWh)","+Financial Neutrality (EUR/MWh)","-Imbalance Price (EUR/MWh)","-Scarcity (EUR/MWh)","-Incentive (EUR/MWh)","-Financial Neutrality (EUR/MWh)","Status","Total Imbalance (MWh)","Total Imbalance - Difference (MWh)","Total Imbalance - Situation","Total Imbalance - Status"
"01/01/2024 00:00 - 01/01/2024 01:00","SCA|DK2","53.87"," "," "," ","53.87"," "," "," "," ","303.20"," ","Surplus","Final"
"01/01/2024 01:00 - 01/01/2024 02:00","SCA|DK2","53.87"," "," "," ","53.87"," "," "," "," ","110.00"," ","Surplus","Final"
"01/01/2024 02:00 - 01/01/2024 03:00","SCA|DK2","24.48"," "," "," ","24.48"," "," "," "," ","154.10"," ","Surplus","Final"
"01/01/2024 03:00 - 01/01/2024 04:00","SCA|DK2","36.00"," "," "," ","36.00"," "," "," "," ","71.40"," ","Surplus","Final"
"01/01/2024 04:00 - 01/01/2024 05:00","SCA|DK2","36.00"," "," "," ","36.00"," "," "," "," ","35.50"," ","Surplus","Final"
"01/01/2024 05:00 - 01/01/2024 06:00","SCA|DK2","40.11"," "," "," ","40.11"," "," "," "," ","197.20"," ","Surplus","Final"
"01/01/2024 06:00 - 01/01/2024 07:00","SCA|DK2","44.00"," "," "," ","44.00"," "," "," "," ","181.80"," ","Surplus","Final"
"01/01/2024 07:00 - 01/01/2024 08:00","SCA|DK2","44.00"," "," "," ","44.00"," "," "," "," ","232.40"," ","Surplus","Final"
"01/01/2024 08:00 - 01/01/2024 09:00","SCA|DK2","44.00"," "," "," ","44.00"," "," "," "," ","165.80"," ","Surplus","Final"
"01/01/2024 09:00 - 01/01/2024 10:00","SCA|DK2","48.00"," "," "," ","48.00"," "," "," "," ","341.90"," ","Surplus","Final"
"01/01/2024 10:00 - 01/01/2024 11:00","SCA|DK2","43.51"," "," "," ","43.51"," "," "," "," ","406.60"," ","Surplus","Final"
"01/01/2024 11:00 - 01/01/2024 12:00","SCA|DK2","60.00"," "," "," ","60.00"," "," "," "," ","579.60"," ","Surplus","Final"
"01/01/2024 12:00 - 01/01/2024 13:00","SCA|DK2","60.00"," "," "," ","60.00"," "," "," "," ","450.40"," ","Surplus","Final"
