# Renewables.ninja Wind power (Point API) - 55.680, 12.570 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Paris, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Paris"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""55.68"""," ""lon"": ""12.57"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""500000"""," ""height"": ""100"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""false""}}"
time,local_time,electricity_kW,electricity_MW,capacity_factor,,,,,,,,,
01/01/2019 00.00,01/01/2019 01.00,484572.753,484.572753,0.969145506,,,,,,,,,
01/01/2019 01.00,01/01/2019 02.00,489912.283,489.912283,0.979824566,,,,,,,,,
01/01/2019 02.00,01/01/2019 03.00,493659.787,493.659787,0.987319574,,,,,,,,,
01/01/2019 03.00,01/01/2019 04.00,495543.357,495.543357,0.991086714,,,,,,,,,
01/01/2019 04.00,01/01/2019 05.00,495660.64,495.66064,0.99132128,,,,,,,,,
01/01/2019 05.00,01/01/2019 06.00,495438.936,495.438936,0.990877872,,,,,,,,,
01/01/2019 06.00,01/01/2019 07.00,494383.427,494.383427,0.988766854,,,,,,,,,
01/01/2019 07.00,01/01/2019 08.00,491983.948,491.983948,0.983967896,,,,,,,,,
01/01/2019 08.00,01/01/2019 09.00,486127.977,486.127977,0.972255954,,,,,,,,,
01/01/2019 09.00,01/01/2019 10.00,476264.119,476.264119,0.952528238,,,,,,,,,
01/01/2019 10.00,01/01/2019 11.00,458573.718,458.573718,0.917147436,,,,,,,,,
01/01/2019 11.00,01/01/2019 12.00,438430.624,438.430624,0.876861248,,,,,,,,,
01/01/2019 12.00,01/01/2019 13.00,439724.433,439.724433,0.879448866,,,,,,,,,
01/01/2019 13.00,01/01/2019 14.00,457244.63,457.24463,0.91448926,,,,,,,,,
01/01/2019 14.00,01/01/2019 15.00,476750.82,476.75082,0.95350164,,,,,,,,,
01/01/2019 15.00,01/01/2019 16.00,489046.68,489.04668,0.97809336,,,,,,,,,
01/01/2019 16.00,01/01/2019 17.00,494468.245,494.468245,0.98893649,,,,,,,,,
01/01/2019 17.00,01/01/2019 18.00,495671.729,495.671729,0.991343458,,,,,,,,,
01/01/2019 18.00,01/01/2019 19.00,495498.069,495.498069,0.990996138,,,,,,,,,
01/01/2019 19.00,01/01/2019 20.00,495546.916,495.546916,0.991093832,,,,,,,,,
01/01/2019 20.00,01/01/2019 21.00,494001.168,494.001168,0.988002336,,,,,,,,,
01/01/2019 21.00,01/01/2019 22.00,492336.093,492.336093,0.984672186,,,,,,,,,
01/01/2019 22.00,01/01/2019 23.00,490999.331,490.999331,0.981998662,,,,,,,,,
01/01/2019 23.00,02/01/2019 00.00,489545.239,489.545239,0.979090478,,,,,,,,,
02/01/2019 00.00,02/01/2019 01.00,490999.281,490.999281,0.981998562,,,,,,,,,
02/01/2019 01.00,02/01/2019 02.00,494201.685,494.201685,0.98840337,,,,,,,,,
02/01/2019 02.00,02/01/2019 03.00,495517.69,495.51769,0.99103538,,,,,,,,,
02/01/2019 03.00,02/01/2019 04.00,495665.399,495.665399,0.991330798,,,,,,,,,
02/01/2019 04.00,02/01/2019 05.00,495664.546,495.664546,0.991329092,,,,,,,,,
02/01/2019 05.00,02/01/2019 06.00,495357.633,495.357633,0.990715266,,,,,,,,,
02/01/2019 06.00,02/01/2019 07.00,494624.613,494.624613,0.989249226,,,,,,,,,
02/01/2019 07.00,02/01/2019 08.00,493421.6,493.4216,0.9868432,,,,,,,,,
02/01/2019 08.00,02/01/2019 09.00,491944.095,491.944095,0.98388819,,,,,,,,,
02/01/2019 09.00,02/01/2019 10.00,491362.224,491.362224,0.982724448,,,,,,,,,
02/01/2019 10.00,02/01/2019 11.00,491462.68,491.46268,0.98292536,,,,,,,,,
02/01/2019 11.00,02/01/2019 12.00,489933.782,489.933782,0.979867564,,,,,,,,,
02/01/2019 12.00,02/01/2019 13.00,488419.574,488.419574,0.976839148,,,,,,,,,
02/01/2019 13.00,02/01/2019 14.00,485265.283,485.265283,0.970530566,,,,,,,,,
02/01/2019 14.00,02/01/2019 15.00,481747.462,481.747462,0.963494924,,,,,,,,,
02/01/2019 15.00,02/01/2019 16.00,476238.339,476.238339,0.952476678,,,,,,,,,
02/01/2019 16.00,02/01/2019 17.00,462045.349,462.045349,0.924090698,,,,,,,,,
02/01/2019 17.00,02/01/2019 18.00,444162.93,444.16293,0.88832586,,,,,,,,,
02/01/2019 18.00,02/01/2019 19.00,426139.938,426.139938,0.852279876,,,,,,,,,
02/01/2019 19.00,02/01/2019 20.00,405860.275,405.860275,0.81172055,,,,,,,,,
02/01/2019 20.00,02/01/2019 21.00,388381.355,388.381355,0.77676271,,,,,,,,,
02/01/2019 21.00,02/01/2019 22.00,382661.139,382.661139,0.765322278,,,,,,,,,
02/01/2019 22.00,02/01/2019 23.00,385582.512,385.582512,0.771165024,,,,,,,,,
02/01/2019 23.00,03/01/2019 00.00,397393.364,397.393364,0.794786728,,,,,,,,,
03/01/2019 00.00,03/01/2019 01.00,412865,412.865,0.82573,,,,,,,,,
03/01/2019 01.00,03/01/2019 02.00,424266.734,424.266734,0.848533468,,,,,,,,,
03/01/2019 02.00,03/01/2019 03.00,436640.621,436.640621,0.873281242,,,,,,,,,
03/01/2019 03.00,03/01/2019 04.00,432931.635,432.931635,0.86586327,,,,,,,,,
03/01/2019 04.00,03/01/2019 05.00,423594.97,423.59497,0.84718994,,,,,,,,,
03/01/2019 05.00,03/01/2019 06.00,414302.831,414.302831,0.828605662,,,,,,,,,
03/01/2019 06.00,03/01/2019 07.00,395741.414,395.741414,0.791482828,,,,,,,,,
03/01/2019 07.00,03/01/2019 08.00,368358.424,368.358424,0.736716848,,,,,,,,,
03/01/2019 08.00,03/01/2019 09.00,326242.38,326.24238,0.65248476,,,,,,,,,
03/01/2019 09.00,03/01/2019 10.00,268453.682,268.453682,0.536907364,,,,,,,,,
03/01/2019 10.00,03/01/2019 11.00,206313.722,206.313722,0.412627444,,,,,,,,,
03/01/2019 11.00,03/01/2019 12.00,148374.739,148.374739,0.296749478,,,,,,,,,
03/01/2019 12.00,03/01/2019 13.00,118206.994,118.206994,0.236413988,,,,,,,,,
03/01/2019 13.00,03/01/2019 14.00,124772.889,124.772889,0.249545778,,,,,,,,,
03/01/2019 14.00,03/01/2019 15.00,112778.137,112.778137,0.225556274,,,,,,,,,
