,Scenario,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,49.95,7.97,74.13,54.52,46.78,42.05,11.3,70.77,78.21,9.19,40.68,45.54,23.46,0.43,46.01,31.05,83.84,91.83,77.21,58.79
2,48.98,1.28,71.75,52.01,48.27,43.78,0.1,66.28,69.39,4.1,26.67,43.57,25.92,0.83,44.86,17.79,83.84,87.42,60.83,56.58
3,46.06,0.61,70.05,50.17,47.52,44,0,39.16,64.73,1.56,22.2,44.47,19.36,0.91,70.55,6.65,81.35,88.53,50.53,55.95
4,43.58,0.87,64.66,51.57,46.53,44.87,0,41.87,59.02,1.28,9.99,40.82,17.53,0.42,65.84,5.49,82.4,87.76,49.47,57.75
5,49.4,1.94,64.89,51.94,47.37,47.51,0,44.04,60.84,0.17,1.57,40,17.46,0.49,75.23,17.9,82.96,89.61,47.97,61.04
6,52.35,7.27,68.73,54.08,47.29,48.25,0,66.34,65.48,1.54,1.56,40,23.31,2.91,86.74,36.22,83.73,93.47,49.08,62.83
7,58.71,57.22,94.91,60.9,74.46,49.94,0,101.99,84.61,3.09,2.61,41.29,27.83,12.55,115.73,51.59,109.39,121.88,60.12,63.92
8,64.49,74.36,117.93,77.26,82.22,51.26,0,149.78,89.95,13.58,39.87,48.61,33.73,13,169.15,74.26,169.97,155.8,70.74,67.98
9,58.71,67.28,117.93,75.33,81,50.23,0,128.52,79.78,19.44,41.55,69.27,22.6,7.41,153.24,74.26,155.17,131.19,77.87,65.04
10,60.89,46.82,100.98,71.79,66.59,48.25,-0.01,85.51,68.3,15.64,30,65.59,8.8,0,91.56,64.81,104.62,101.12,69.25,59.9
11,54.36,38.29,107.35,69.17,50.5,39.12,-0.16,80.6,50.48,12.74,10.05,42.16,-0.02,-2.3,76.24,52.05,83.9,90.21,61.27,50.05
12,30.39,39.3,90.81,63.06,45.54,39.99,-3.01,71.23,45.07,6.1,0.86,24.94,-4.04,-11.98,57,46.15,79.9,83.87,57.28,38.43
13,18.04,39.28,82.03,58.08,44.43,39.55,-3.99,64.7,37.53,1.59,0.91,20.09,-8.02,-42.14,43,42.96,80.3,80.64,52.16,28.97
14,20.05,38.37,76.88,56.22,40.03,37.84,-6.55,60,30.04,0.36,1.1,4.98,-20.2,-53.31,32.89,42.37,79.06,77.2,48.67,12.33
15,10.03,33.38,73.04,55.49,37.07,34.92,-10,57.89,26.93,0,0.57,0.81,-29.32,-54,19.5,43.21,77.71,73.01,46.38,10.55
16,4.47,25.1,71.32,56.17,31.04,39.21,-5.04,63.4,29.76,0.01,12.88,0.43,-31.6,-40.05,29.94,48.53,77.03,70.7,47.31,18.33
17,4.12,8.83,74.86,57.08,27.61,39.87,-0.16,70,39.8,1.59,8.68,17.22,-10.07,-6.25,35.58,61.33,80,70.88,50.91,37.41
18,13.15,41.2,90.22,69.08,39.99,46.28,6.92,75.01,48.37,16.38,46.53,39.4,2,1.57,46.3,79.67,86.9,81.33,57.36,62.83
19,34.61,72.7,108.14,75.36,49.65,52.7,91.46,104.9,64.32,82.65,95.42,47.12,28.65,21.1,69.2,92.92,114.97,94.03,63.08,78.9
20,48.53,95.39,120.35,90.66,53.4,58.37,108.39,137.3,79.79,145.46,134.36,47.15,52.66,87.8,78.92,113.99,159.92,125.24,63.75,89.61
21,49.88,94.88,99.14,80.58,53.92,48.28,106.4,124.8,59.95,141.1,119.8,47.19,40.03,119.91,77.02,124.52,169.9,128.83,64.69,97.04
22,45.69,78.13,74.71,71.53,53.4,45.02,89.95,84.85,48.22,96.85,91.05,47.11,34.65,112.61,66.31,104.46,130.06,105.92,64.61,90.31
23,25.97,74.86,61.49,69.76,52.73,39.86,77.46,77,45,52.56,72.55,45.89,20.6,97.16,52.93,90.1,99.04,89.89,63.71,86.07
24,7.47,70.88,55.33,57.67,49.62,25.26,66.33,70.19,34.54,47.22,60.47,44.13,7.05,79.69,35.01,84.1,87.81,79.37,61.63,82.9
