,Scenario,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,28.46,33.56,15.87,53.6,83.09,83.2,82.46,84.32,87.04,86.76,88.59,88.22,74.85,62.11,66.05,81.4,69.36,77.2,65.34,65.01
2,26.66,32.03,15.88,54.44,80,82.03,79.22,81.82,85,86.73,87.25,85.22,73.65,62.93,64.31,80.07,68.47,75.29,64.05,65.1
3,24.48,32.29,15.88,55.18,80.17,82.18,77.53,79.11,84.14,86.09,82.38,84.63,71.37,64.01,62.04,78.26,67.56,74.91,62.76,63.34
4,24.01,36.7,15.94,58.25,82.49,82.53,76.89,78.48,85.72,86.3,81.95,84.34,72.24,64.67,63.57,77.59,67.31,77.57,63.32,63.37
5,15.88,41.72,20.04,59.15,88.14,84.13,77.42,82.1,89.28,89.05,89.36,85.32,55.55,65.2,70.57,83.45,67.28,81,65.85,61.75
6,15.87,49.18,49.44,72.65,109.79,84.48,78.45,94.3,108.51,108.88,102.07,92.11,45.62,67.31,79.95,123,70.65,91.44,75.74,64.45
7,22.04,58.75,53.53,85.02,165.01,87.43,80.37,111.22,124.06,129.4,116.86,118.16,51.2,71.66,83.84,193.42,79.94,111.55,89.38,68.55
8,25.42,65.67,63.48,91.47,299.01,90.87,84.21,121.11,133.25,143,141,140.74,67.16,76.74,99.3,275.59,96,125.89,104.27,74.82
9,32.21,66.11,64.99,94.2,249.12,94.98,87.57,120.73,120.91,130.39,129.16,134.96,73.31,81.14,100.29,270.56,102.87,122.17,103.3,78.85
10,41.34,68.98,60.19,91.98,255.86,100.41,89.75,113.9,113.19,121.47,113.65,122.01,72.02,80.63,94.88,249.93,106.91,110.9,95.85,73.57
11,43.51,73.54,59.96,90.4,211.11,103.65,91.99,105.54,105.78,109.13,106.48,114.73,70.98,81.84,90.26,200.55,111.1,107.95,86.56,72.51
12,43.02,78.16,59.8,86.69,203.28,102.33,91.5,97.84,100.22,102.21,99.38,106.98,69.95,80.39,83.86,170.04,117.71,93.55,78.72,69.75
13,44.29,78.87,58.86,85.96,196.98,97.75,87.52,94.88,100.82,108.2,99,103.08,63.67,77.04,82.15,141.97,121.7,87.62,75.15,70.79
14,46.24,79.24,64.99,92.11,197.86,95.51,87.23,102.46,112.36,115.68,105.98,104.54,67.91,79.15,84.5,143.58,121.74,86.43,76.91,73.39
15,50.61,79.96,68.83,98.62,299.94,98.5,90.64,110.64,121.09,123.8,117.96,110,68.61,82.32,89.44,156.16,125.46,94.25,86.95,79.11
16,59.47,81.46,73.59,105.73,449.64,110,96.21,128,130.99,134.64,137.35,120,70.78,86.62,99.92,170.08,128.56,99.52,104.6,90.05
17,64.99,80.92,82.28,133.23,526.25,118.27,104.27,132.31,137.95,143.79,150.09,127.5,74.22,91.86,109.08,170.81,140.52,104.68,114.77,97.27
18,61.74,74.95,82.97,144.65,349.95,106.94,106.09,130.01,137.8,140,136.69,126,75.81,94.64,115.57,133.08,123.59,103.26,108.49,101.11
19,55.07,63.18,79.03,125,181.91,102.27,103.55,122.12,130.43,132.15,132.31,119.47,73.82,85.26,110.66,111.77,114.28,94.53,85.1,91.57
20,48.01,57.11,73.23,103.59,149.6,94.98,100.5,114.21,120.24,120,118.95,108.79,73.06,79.06,103.15,95.49,109.8,86.97,75.82,80
21,44.01,48.04,67.41,100.01,112.82,90.63,93.31,102.83,111.68,109.76,107.19,98.48,70.93,78.6,92.95,86.21,101.09,81.13,73.01,73.39
22,45.2,40,65,94.86,100.1,89.34,91.17,99.98,106.18,104.49,100,93.37,62.76,75.39,89.49,82.04,94.28,77.43,70.69,70.42
23,38,30,58.12,88.83,92.87,82.8,83.86,91.49,97.09,96.03,97.22,85.15,61.65,66.89,86.43,77.69,84.17,71.33,66.69,66.99
24,38,20,58.71,88.83,84.88,86.15,87.02,88.16,89.29,91.75,91.04,75.64,64.02,69.65,82.19,69.89,81.33,68.4,67.62,59.7
