,Scenario,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1.3,37.34,47.92,134.16,147.98,202.54,204.49,41.79,57.89,202.35,20.91,103.27,107.54,198.95,89.6,146.25,2.04,1.31,113.14,110.15
2,1.26,191.97,76.76,136.96,160.57,175.89,202.66,93.92,49.12,156.65,19.04,84.7,94.39,203.9,99.62,141.09,7.31,1.26,80.33,89.2
3,1.34,203.67,93.76,116.68,107.53,186.08,9.14,178.84,41.23,195.36,39.41,111.9,73.03,203.69,65.32,148.9,16.1,1.19,72.34,49.59
4,4.43,204.32,89.64,86.25,84.74,186.15,0.04,182.72,33.46,193.81,157.23,88.45,71.16,203.4,47.01,192.5,17.73,3.89,90.97,36.61
5,1.43,204.29,79.35,47.35,79.77,146.1,0.05,145.35,36.15,191.7,203.45,89.3,82.8,202.76,26.85,194.21,25.75,8.99,90.98,36.73
6,1.26,204.34,56.84,70.91,93.32,109.81,0.1,54.26,49.83,196.39,203.63,92.86,51.18,195.56,20.59,196.19,42.85,13.52,114.65,20.43
7,1.31,204.27,20.86,108.48,33.75,135.61,0.11,59.26,45.89,202.67,203.92,98.07,40.52,200.44,15.91,193.23,66.35,14.62,131.74,21.21
8,13.22,204.26,8.58,95.48,19.71,105.52,0.07,67.31,37.66,202.32,201.44,158.22,43.5,197.52,23.34,155.96,33.05,21.21,181.53,22.5
9,4.61,204.2,4.08,89.24,31.68,51.73,0.05,27.78,42.88,204.08,204.01,152.7,46.59,197.76,16.06,17.27,22.62,25.75,182.88,4.16
10,8.88,204.27,0.81,129.91,57.2,41.71,0.08,7.05,112.3,204.01,202.89,164.18,89.1,8.95,11.79,11.18,14.7,36.9,163.76,1.03
11,40.98,204.28,1.38,133.86,65.01,53.31,0.13,2.7,128.74,203.5,188.05,148.13,2.46,0.34,5.54,9.82,32.84,43.53,165.36,1
12,52.53,204.41,1.52,91.12,59.06,23.54,0.1,1.33,11.24,197.42,187.3,161.05,0.07,0.08,7.44,16.2,12.89,59.28,75.11,0.7
13,45.4,202.91,1.27,64.89,96.35,5.68,0.05,1.29,1.3,188.75,182.12,139.64,0.08,0.05,16.05,14.94,11.32,90.2,21.9,1.45
14,33.74,202.04,3.52,60.85,113.64,33.34,0.06,1.34,20.99,152.6,183.67,161.44,0.06,0.08,16.65,1.72,15.55,84.07,14.6,3.42
15,49.33,198.79,13.75,98.23,140.58,32.88,0.02,1.37,146.35,83.58,166.01,158.49,0.08,0.05,28.65,1.28,24.36,49.64,3.32,4.6
16,97.26,111.91,12.3,105.65,183.22,39.88,0.08,3.84,97.58,178.49,150.33,162.45,0.09,0.08,59.86,1.45,2.64,82.8,2.75,3.19
17,189.49,75.75,16.62,154.59,197.48,37.54,0.69,27.29,140.42,160.62,160.27,163.09,0.12,0.08,81.69,8.04,1.02,44.58,100.39,11.98
18,147.78,50.43,44.67,189.95,203.55,63.56,1.29,35.36,85.48,129.32,167.06,185.98,32.36,193.44,80.76,5.68,1.2,40.36,164.33,26.03
19,63.8,36.97,62.73,120.07,204.29,158.3,1.1,23.23,36.44,76.49,139.22,174.31,20.03,191,64.24,0.54,1.25,42.06,191.06,28.37
20,50.08,30.59,86.29,92.3,202.89,201.05,1.18,22.43,17.78,45.65,160.36,186.19,3.92,174.03,82.35,2.11,0.67,125.56,194.47,10.32
21,34.94,40.09,86.17,98.87,203.7,203.84,5,28.19,91.85,43.7,159.29,97.99,2.64,197.94,103.06,6.67,0.84,132.36,196.08,1.22
22,19.68,42.02,94.22,183.36,204.3,203.48,8.17,20.06,154.15,49.23,113.51,105.89,54.43,190.85,101.99,3.73,1.16,175.24,189.07,1.33
23,10.95,35.95,108.56,201.93,204,203.24,20.07,19.34,189.42,29.01,99.64,162.67,185.81,147.13,98.47,1.07,1.22,169.46,170.85,4.93
24,1.17,47.94,116.32,190.4,203.72,200.21,33.64,40.63,199.88,20.67,82.2,124.93,195.26,117.36,108.79,1.56,1.32,135.89,138.84,5.31
